Id,Label,timeset,bus number,lon,lat,supply (mw),demand (mw),cluster,modularity_class,Cluter-ID,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles
69,,,,-104.786623,39.969993,0,0,8,8,0,8,8,22,0.091861,0.10107,463640.1827,0,0.107143,3
70,,,,-101.820237,40.526805,0,0,9,7,0,4,4,24,0.07799,0.084167,1076105.762,0,0,0
71,,,,-118.784853,37.515039,0,0,9,49,0,6,6,22,0.104461,0.114341,1933531.05,0,0,0
72,,,,-106.396737,31.819441,0,0,17,28,0,7,7,23,0.085017,0.093489,1104067.369,0,0,0
73,,,,-103.619872,40.354546,0,0,9,7,0,6,6,24,0.078003,0.084204,584142.6832,0,0.066667,1
74,,,,-114.902355,36.11844,0,0,15,20,0,9,9,24,0.092857,0.103123,1733675.655,0,0,0
75,,,,-111.999773,32.989658,0,0,7,22,0,4,4,24,0.082216,0.087484,145236.4767,0,0,0
76,,,,-107.322157,48.338318,0,0,18,23,0,8,8,20,0.097479,0.105091,678793.0799,0,0.047619,1
77,,,,-121.338227,38.530908,0,0,1,13,0,10,10,24,0.08963,0.099029,1150104.457,0,0.055556,2
78,,,,-121.103423,37.858172,0,0,1,10,0,8,8,25,0.083976,0.092615,1991544.235,0,0,0
79,,,,-120.646034,40.173535,0,0,9,3,0,8,8,24,0.089897,0.098379,353764.747,0,0,0
80,,,,-121.08885,37.646559,0,0,1,10,0,6,6,26,0.077853,0.085353,1428621.731,0,0,0
81,,,,-123.260215,47.707623,0,0,19,27,0,5,5,23,0.08668,0.095226,3019492.486,0,0,0
82,,,,-107.064974,40.046253,0,0,9,37,0,5,5,23,0.085346,0.092497,636694.0452,0,0,0
83,,,,-120.990253,39.191402,0,0,20,44,0,12,12,23,0.098197,0.10972,2667238.666,0,0,0
84,,,,-122.954686,44.624848,0,0,5,26,0,11,11,24,0.081029,0.089693,3083404.689,0,0.018182,1
85,,,,-120.745104,37.69249,0,0,20,10,0,7,7,27,0.072797,0.079927,1144475.242,0,0.047619,1
86,,,,-105.419453,36.304199,0,0,9,51,0,12,12,24,0.080772,0.088168,1142761.025,0,0.022222,1
87,,,,-123.107496,44.952643,0,0,5,26,0,7,7,25,0.075614,0.083486,1717732.212,0,0.047619,1
88,,,,-121.628725,36.631735,0,0,20,53,0,6,6,24,0.090957,0.100643,1860670.479,0,0.066667,1
89,,,,-119.131676,39.092168,0,0,9,49,0,7,7,23,0.09485,0.102357,745309.8069,0,0,0
90,,,,-122.263212,46.081587,0,0,5,57,0,7,7,24,0.081105,0.088828,1266716.915,0,0,0
91,,,,-109.271541,45.544782,0,0,18,24,0,6,6,20,0.107079,0.11653,618436.2895,0,0,0
92,,,,-109.833097,32.334419,0,0,9,22,0,8,8,24,0.083603,0.090164,2111191.174,0,0,0
93,,,,-122.360891,37.991764,0,0,1,36,0,8,8,24,0.090707,0.100597,2068135.756,0,0,0
94,,,,-111.960089,40.946851,0,0,4,45,0,8,8,26,0.081085,0.091362,1427956.043,0,0.071429,2
95,,,,-101.758859,40.564315,0,0,9,7,0,2,2,25,0.07235,0.076985,43275,0,0,0
96,,,,-121.364157,38.808324,0,0,1,13,0,9,9,23,0.097757,0.108079,606474.4566,0,0,0
97,,,,-113.105885,42.978153,0,0,0,30,0,8,8,27,0.075833,0.084876,1070876.893,0,0.035714,1
98,,,,-111.91236,33.297696,0,0,7,22,0,3,3,23,0.088485,0.094004,42995.95417,0,0.333333,1
99,,,,-111.49859,32.875707,0,0,7,42,0,12,12,24,0.082288,0.088263,865985.4051,0,0.054545,3
100,,,,-122.492178,49.19235,0,0,23,11,0,5,5,21,0.100368,0.109453,1099655.018,0,0,0
101,,,,-108.222474,32.262248,0,0,17,21,0,8,8,25,0.077342,0.082975,1086061.26,0,0,0
102,,,,-108.628424,38.343645,0,0,9,37,0,6,6,26,0.079396,0.086652,952962.6558,0,0,0
103,,,,-120.42587,37.657939,0,0,20,10,0,8,8,28,0.068719,0.075753,884013.6664,0,0,0
104,,,,-107.404924,39.576063,0,0,9,37,0,4,4,24,0.078654,0.084131,184470.173,0,0.166667,1
105,,,,-119.046407,46.041245,0,0,11,50,0,12,12,22,0.089684,0.099877,5095019.302,0,0.030303,2
106,,,,-122.314114,47.644188,0,0,19,27,0,8,8,23,0.086601,0.095119,1492297.539,0,0.071429,2
107,,,,-114.172532,43.371939,0,0,14,30,0,6,6,25,0.081795,0.09031,1544609.552,0,0,0
108,,,,-118.855271,35.022905,0,0,12,18,0,8,8,24,0.09118,0.100102,1244061.15,0,0,0
109,,,,-117.91672,34.162379,0,0,2,49,0,8,8,26,0.079828,0.089448,1023321.969,0,0,0
110,,,,-122.746747,48.141443,0,0,23,27,0,5,5,23,0.085391,0.092103,413234.1341,0,0,0
111,,,,-115.533149,37.350761,0,0,9,47,0,5,5,24,0.092646,0.10226,675811.6815,0,0,0
112,,,,-110.640421,32.059736,0,0,9,16,0,5,5,25,0.078903,0.084853,1115407.835,0,0,0
113,,,,-115.883921,37.10043,0,0,9,47,0,4,4,25,0.085444,0.09279,88194.34828,0,0,0
114,,,,-111.860036,33.371429,0,0,7,22,0,3,3,22,0.096729,0.103698,2352161.814,0,0,0
115,,,,-117.34627,34.265691,0,0,2,56,0,5,5,25,0.084982,0.093175,301205.6598,0,0,0
116,,,,-120.297032,47.409335,0,0,11,33,0,8,8,22,0.088937,0.098285,2883534.046,0,0,0
117,,,,-105.806982,40.125835,0,0,8,37,0,6,6,22,0.092012,0.101168,545004.7165,0,0,0
118,,,,-115.11812,36.518755,0,0,15,47,0,2,2,24,0.092552,0.101756,69206.12698,0,0,0
119,,,,-121.49679,37.954979,0,0,1,10,0,6,6,25,0.08376,0.091512,486008.7488,0,0.1,1
120,,,,-111.740724,32.786954,0,0,7,42,0,3,3,25,0.07604,0.080415,129771,0,0.333333,1
121,,,,-121.343953,38.480279,0,0,1,13,0,8,8,25,0.082566,0.090202,527359.257,0,0,0
122,,,,-121.992121,37.788171,0,0,1,36,0,8,8,24,0.091254,0.101234,1950867.15,0,0.035714,1
123,,,,-117.092583,31.830871,0,0,9,48,0,5,5,24,0.092542,0.103568,2112773.424,0,0,0
124,,,,-122.711514,43.138308,0,0,9,26,0,4,4,25,0.081122,0.087334,475431.7891,0,0,0
125,,,,-111.983822,40.646309,0,0,4,45,0,5,5,27,0.075054,0.082959,411243.9001,0,0,0
126,,,,-112.78479,53.992275,0,0,10,0,0,5,5,21,0.094281,0.103695,4906183.903,0,0,0
127,,,,-111.957615,33.419725,0,0,7,22,0,7,7,23,0.088442,0.094505,2332391.871,0,0,0
128,,,,-116.29172,33.749891,0,0,12,48,0,8,8,24,0.092938,0.104172,2633703.445,0,0.035714,1
129,,,,-121.579112,47.105916,0,0,19,27,0,2,2,24,0.080172,0.08661,63282.85566,0,0,0
130,,,,-118.907842,35.516526,0,0,12,18,0,4,4,25,0.084075,0.091402,321120.9757,0,0,0
131,,,,-115.788281,48.861937,0,0,6,61,0,3,3,21,0.094742,0.103711,1870405.757,0,0,0
132,,,,-122.802445,47.245428,0,0,19,27,0,3,3,23,0.086229,0.093724,22352.8009,0,0,0
133,,,,-118.568781,47.854485,0,0,11,58,0,8,8,22,0.088407,0.097383,1860365.516,0,0,0
134,,,,-120.802932,38.198452,0,0,1,10,0,3,3,26,0.077574,0.084274,332522.9624,0,0,0
135,,,,-120.050581,38.881303,0,0,20,44,0,4,4,24,0.087186,0.09325,480893.7948,0,0,0
136,,,,-122.115344,37.834534,0,0,1,36,0,4,4,25,0.084833,0.092973,1100740.019,0,0,0
137,,,,-119.023299,36.040617,0,0,12,18,0,4,4,22,0.104342,0.113645,793497.4083,0,0,0
138,,,,-117.510738,48.378306,0,0,11,61,0,3,3,22,0.086511,0.093229,131949.5262,0,0,0
139,,,,-121.360333,38.878215,0,0,1,13,0,4,4,24,0.089178,0.096905,349952.2957,0,0,0
140,,,,-119.704616,50.344863,0,0,3,65,0,6,6,21,0.09504,0.104664,3852821.782,0,0,0
141,,,,-109.463594,46.99669,0,0,18,24,0,8,8,20,0.097578,0.105419,720959.0281,0,0,0
142,,,,-113.921877,53.065808,0,0,10,0,0,4,4,21,0.093769,0.102026,696490.3487,0,0,0
143,,,,-112.000071,40.847277,0,0,4,45,0,5,5,27,0.075075,0.083146,651202.3523,0,0.1,1
144,,,,-122.571192,39.17757,0,0,20,3,0,6,6,24,0.090465,0.099063,1781362.431,0,0,0
145,,,,-101.847964,39.902282,0,0,9,7,0,1,1,25,0.072348,0.076904,0,0,0,0
146,,,,-117.820982,37.251702,0,0,9,49,0,6,6,23,0.094641,0.101969,466750.8655,0,0,0
147,,,,-118.400944,35.047112,0,0,12,18,0,10,10,24,0.091119,0.100224,1162008.861,0,0.066667,3
148,,,,-115.194033,36.116634,0,0,15,20,0,10,10,24,0.09258,0.102743,1324571.284,0,0.022222,1
149,,,,-110.491294,44.887428,0,0,9,24,0,3,3,20,0.108029,0.117573,3592829.954,0,0,0
150,,,,-115.832532,53.920471,0,0,9,67,0,6,6,21,0.094221,0.10326,4374716.489,0,0,0
151,,,,-117.198538,46.101994,0,0,11,40,0,6,6,23,0.083036,0.091083,1225692.571,0,0,0
152,,,,-121.2724,38.665809,0,0,1,13,0,18,18,23,0.098124,0.109972,2695057.662,0,0.016667,2
153,,,,-121.582305,38.546233,0,0,1,13,0,5,5,24,0.089497,0.098451,628360.2584,0,0,0
154,,,,-115.377959,38.749065,0,0,9,47,0,2,2,25,0.085,0.092173,72805.78796,0,0,0
155,,,,-117.777445,33.675699,0,0,2,52,0,4,4,26,0.078935,0.087364,421935.1314,0,0,0
156,,,,-110.811471,53.309597,0,0,9,68,0,7,7,22,0.086469,0.094465,1903902.619,0,0,0
157,,,,-122.377961,47.606229,0,0,19,27,0,5,5,23,0.086369,0.094391,643156.7176,0,0,0
158,,,,-111.749545,44.31227,0,0,0,35,0,5,5,25,0.078255,0.085105,746552.9324,0,0,0
159,,,,-117.456206,33.910798,0,0,2,39,0,12,12,24,0.092345,0.103651,1758901.557,0,0,0
160,,,,-107.238628,44.451261,0,0,9,31,0,5,5,21,0.098981,0.10756,611371.6877,0,0,0
161,,,,-116.291996,46.74627,0,0,11,40,0,5,5,24,0.077197,0.083608,652834.3118,0,0,0
162,,,,-121.425873,45.638079,0,0,9,53,0,6,6,25,0.076716,0.083424,784901.3137,0,0.066667,1
163,,,,-121.162453,37.735823,0,0,1,10,0,3,3,27,0.072237,0.077884,124961.6,0,0,0
164,,,,-117.680767,34.131343,0,0,2,9,0,14,14,27,0.076495,0.085782,1153358.753,0,0.025641,2
165,,,,-111.88866,40.814556,0,0,4,45,0,7,7,28,0.069902,0.076712,436442.4974,0,0,0
166,,,,-104.549561,38.592299,0,0,8,8,0,5,5,23,0.084346,0.091525,402566.3417,0,0,0
167,,,,-122.000957,47.352726,0,0,19,27,0,5,5,24,0.080193,0.087149,695804.6058,0,0,0
168,,,,-120.823152,37.612092,0,0,20,10,0,7,7,28,0.067915,0.073769,638498.5857,0,0,0
169,,,,-109.804295,48.784892,0,0,9,24,0,4,4,20,0.097427,0.104762,244630.181,0,0,0
170,,,,-121.660413,44.828639,0,0,5,26,0,3,3,23,0.086846,0.094465,372482.6813,0,0,0
171,,,,-118.255229,47.318602,0,0,11,41,0,6,6,22,0.088201,0.096726,750379.3526,0,0,0
172,,,,-121.927627,37.211143,0,0,20,17,0,5,5,24,0.090511,0.099721,801970.1734,0,0,0
173,,,,-108.740899,47.434223,0,0,18,24,0,3,3,20,0.097545,0.10511,723515.6092,0,0,0
174,,,,-120.953963,38.6132,0,0,1,13,0,6,6,24,0.089426,0.098076,542567.9152,0,0,0
175,,,,-110.073288,52.458323,0,0,9,68,0,5,5,23,0.079746,0.086136,577141.1356,0,0,0
176,,,,-122.996149,38.899068,0,0,20,3,0,7,7,25,0.083193,0.090471,1434768.199,0,0,0
177,,,,-118.034908,34.162963,0,0,2,18,0,6,6,26,0.078994,0.087269,300623.6544,0,0.066667,1
178,,,,-111.58634,41.285036,0,0,4,41,0,9,9,26,0.081495,0.091791,1186849.905,0,0,0
179,,,,-121.490551,37.999806,0,0,1,10,0,3,3,26,0.077292,0.083097,86532,0,0.333333,1
180,,,,-119.890857,37.275496,0,0,20,54,0,6,6,29,0.066464,0.073,439297.4064,0,0,0
181,,,,-105.486625,37.545941,0,0,9,51,0,6,6,25,0.074828,0.080761,534712.7397,0,0,0
182,,,,-115.997627,33.426879,0,0,12,55,0,7,7,25,0.085249,0.094244,988897.4721,0,0,0
183,,,,-120.730966,34.912938,0,0,9,6,0,7,7,27,0.075106,0.081939,683849.7787,0,0.047619,1
184,,,,-117.044964,32.67034,0,0,12,48,0,12,12,25,0.085683,0.095643,2279153.46,0,0.030303,2
185,,,,-121.118194,35.566026,0,0,9,6,0,6,6,28,0.072437,0.078838,354246.4845,0,0,0
186,,,,-121.072879,38.838079,0,0,1,13,0,7,7,25,0.082194,0.08886,177980.3329,0,0,0
187,,,,-123.150717,39.206357,0,0,9,3,0,9,9,26,0.076913,0.082855,510006.2608,0,0,0
188,,,,-118.184877,34.471828,0,0,2,18,0,5,5,26,0.079005,0.087343,529192.6294,0,0,0
189,,,,-113.960716,44.885948,0,0,9,29,0,6,6,24,0.082271,0.088878,1059198.281,0,0,0
190,,,,-103.816232,44.152735,0,0,22,34,0,5,5,22,0.090545,0.098173,2021050.498,0,0,0
191,,,,-105.843704,39.087028,0,0,8,37,0,3,3,23,0.084699,0.091531,86541,0,0,0
192,,,,-113.124312,53.558976,0,0,10,0,0,5,5,22,0.086475,0.094463,2479484.467,0,0,0
193,,,,-117.161798,33.0551,0,0,12,39,0,15,15,26,0.079005,0.087228,944400.3209,0,0.054945,5
194,,,,-123.167348,41.176735,0,0,9,6,0,8,8,25,0.081308,0.08785,565846.8173,0,0,0
195,,,,-121.264926,37.883393,0,0,1,15,0,6,6,25,0.083866,0.091809,937749.2139,0,0,0
196,,,,-108.625142,38.469313,0,0,9,37,0,2,2,27,0.073567,0.079,102942.9139,0,0,0
197,,,,-107.122079,32.707765,0,0,17,21,0,8,8,26,0.072538,0.077389,556035.3081,0,0,0
198,,,,-113.329797,51.41714,0,0,6,70,0,6,6,21,0.092878,0.100906,2024769.781,0,0,0
199,,,,-104.552312,42.44507,0,0,22,34,0,9,9,23,0.083198,0.089618,1024775.126,0,0,0
200,,,,-106.563472,34.899732,0,0,13,5,0,4,4,23,0.084865,0.092667,140389.3646,0,0,0
201,,,,-107.778688,33.198775,0,0,17,21,0,3,3,27,0.067636,0.071279,86537,0,0,0
202,,,,-118.800902,47.54332,0,0,11,58,0,1,1,23,0.081227,0.087585,0,0,0,0
203,,,,-118.101369,33.775244,0,0,2,46,0,10,10,26,0.079068,0.088484,1741908.665,0,0,0
204,,,,-118.392496,40.56308,0,0,21,2,0,3,3,25,0.083005,0.089806,1437059.638,0,0,0
205,,,,-115.052667,36.204968,0,0,15,20,0,7,7,25,0.08487,0.092905,446476.0924,0,0,0
206,,,,-122.15006,37.612324,0,0,1,17,0,6,6,26,0.080055,0.087172,836402.2144,0,0,0
207,,,,-121.196617,37.381077,0,0,20,13,0,7,7,27,0.072252,0.07806,108808.4046,0,0,0
208,,,,-106.566677,42.588907,0,0,22,34,0,4,4,24,0.076967,0.081948,300440.6945,0,0,0
209,,,,-112.315646,40.711241,0,0,4,45,0,4,4,28,0.069908,0.076344,152892.2455,0,0,0
210,,,,-104.915636,36.707512,0,0,9,8,0,6,6,25,0.074777,0.080532,350457.0081,0,0,0
211,,,,-110.524806,31.983246,0,0,9,16,0,3,3,26,0.073144,0.077689,216251,0,0,0
212,,,,-103.635759,43.576594,0,0,22,34,0,6,6,23,0.083237,0.089163,470378.7256,0,0,0
213,,,,-105.08072,39.763592,0,0,8,37,0,9,9,22,0.091997,0.10153,1596226.117,0,0.035714,1
214,,,,-117.446153,35.023091,0,0,12,56,0,6,6,25,0.085113,0.093534,456598.8126,0,0,0
215,,,,-122.042277,37.876307,0,0,1,36,0,10,10,26,0.07835,0.08549,903270.6941,0,0,0
216,,,,-121.82847,37.818813,0,0,1,36,0,4,4,25,0.083864,0.09169,307526.5249,0,0,0
217,,,,-121.667841,37.747038,0,0,1,17,0,9,9,26,0.077778,0.084948,667482.3531,0,0,0
218,,,,-102.52197,40.210601,0,0,9,7,0,6,6,25,0.072475,0.077917,997246.5123,0,0,0
219,,,,-116.102022,32.936177,0,0,12,48,0,4,4,26,0.078961,0.086462,345923.3816,0,0,0
220,,,,-122.978785,44.073391,0,0,5,26,0,14,14,24,0.080736,0.088301,945906.246,0,0,0
221,,,,-104.745441,39.0911,0,0,8,8,0,7,7,23,0.084403,0.092064,685070.1138,0,0,0
222,,,,-122.518121,47.403354,0,0,19,63,0,9,9,24,0.07965,0.086093,365386.709,0,0,0
223,,,,-119.376325,35.018163,0,0,12,18,0,7,7,25,0.084427,0.092155,928061.6844,0,0,0
224,,,,-121.635685,37.756024,0,0,1,17,0,7,7,27,0.07277,0.079005,189440.1229,0,0.095238,2
225,,,,-106.565933,35.134237,0,0,13,5,0,8,8,23,0.085041,0.093685,986412.1069,0,0.035714,1
226,,,,-118.148322,33.580297,0,0,2,25,0,2,2,27,0.073388,0.080353,99089.58463,0,0,0
227,,,,-109.376573,37.694284,0,0,9,4,0,8,8,27,0.075695,0.082671,412148.5436,0,0,0
228,,,,-112.367961,41.774755,0,0,0,29,0,4,4,26,0.081215,0.091095,852171.1906,0,0,0
229,,,,-111.078241,45.41922,0,0,9,24,0,9,9,21,0.098934,0.106718,2886451.473,0,0,0
230,,,,-118.286362,33.679746,0,0,2,46,0,4,4,26,0.078964,0.087306,146991.8621,0,0,0
231,,,,-121.624154,38.84598,0,0,1,13,0,3,3,24,0.089106,0.096643,191979.7835,0,0,0
232,,,,-117.348697,33.084318,0,0,12,39,0,4,4,27,0.073234,0.079388,268891.6933,0,0,0
233,,,,-118.04092,34.064613,0,0,2,18,0,6,6,27,0.073322,0.080182,231903.2747,0,0,0
234,,,,-107.010007,32.607004,0,0,17,28,0,3,3,26,0.070452,0.074747,180761.1059,0,0,0
235,,,,-114.879812,36.205146,0,0,15,20,0,5,5,25,0.085024,0.092793,163216.2457,0,0.1,1
236,,,,-121.03314,47.769232,0,0,9,33,0,4,4,23,0.081898,0.088973,868558.1207,0,0,0
237,,,,-120.627285,46.606304,0,0,11,33,0,5,5,23,0.082832,0.090009,694554.5483,0,0,0
238,,,,-115.306091,42.345735,0,0,14,30,0,4,4,25,0.076131,0.082928,540400.619,0,0,0
239,,,,-110.711547,42.558363,0,0,0,41,0,3,3,27,0.076703,0.0849,792077.4609,0,0,0
240,,,,-122.883079,38.952069,0,0,20,3,0,5,5,26,0.076918,0.082529,213566.4827,0,0,0
241,,,,-114.984824,32.56434,0,0,9,55,0,6,6,21,0.105926,0.114224,823116.6994,0,0,0
242,,,,-121.342808,38.586566,0,0,1,13,0,4,4,25,0.082369,0.089559,357496.5859,0,0,0
243,,,,-122.57035,46.485229,0,0,19,27,0,6,6,24,0.080201,0.087133,699103.5829,0,0,0
244,,,,-114.219335,50.268969,0,0,6,53,0,5,5,20,0.102031,0.111601,2496200.472,0,0,0
245,,,,-123.884941,40.433218,0,0,9,3,0,7,7,24,0.090218,0.098261,302673.3333,0,0.047619,1
246,,,,-121.675225,37.649098,0,0,1,17,0,4,4,27,0.072209,0.077764,113839.7793,0,0,0
247,,,,-120.818364,35.709947,0,0,9,53,0,5,5,28,0.072789,0.079482,367102.3812,0,0,0
248,,,,-121.618005,37.743535,0,0,1,17,0,5,5,27,0.071697,0.076929,114945.5024,0,0.1,1
249,,,,-111.545087,40.346662,0,0,4,38,0,5,5,27,0.075242,0.083076,387265.1749,0,0.1,1
250,,,,-104.919942,39.601444,0,0,8,37,0,4,4,23,0.084398,0.091751,1174868.307,0,0,0
251,,,,-118.910127,44.279611,0,0,9,41,0,9,9,23,0.084165,0.092593,2218231.11,0,0,0
